env_name,slope,intercept,eq_n_to_sigma,eq_sigma_to_n
h1-crawl-v0,4.995881880961546,-81.74766303426053,sigma = 3.1437e-36 * N^4.9959,N = 1.2775e+07 * sigma^0.2002
h1-pole-v0,0.9473979307068834,-15.352291085416237,sigma = 2.1507e-07 * N^0.9474,N = 1.0905e+07 * sigma^1.0555
h1-stand-v0,0.38456858838623875,-5.554675027683761,sigma = 3.8693e-03 * N^0.3846,N = 1.8746e+06 * sigma^2.6003
humanoid-stand,1.901557431902135,-24.586768554489247,sigma = 2.0994e-11 * N^1.9016,N = 4.1242e+05 * sigma^0.5259
