env_name,slope,intercept,eq_n_to_sigma,eq_sigma_to_n
dog-trot,1.0237655509308352,-13.654305551742006,sigma = 1.1749e-06 * N^1.0238,N = 6.1991e+05 * sigma^0.9768
dog-walk,1.030933569508857,-13.003954329849343,sigma = 2.2514e-06 * N^1.0309,N = 3.0067e+05 * sigma^0.9700
humanoid-run,0.8571638877359095,-11.341699850831164,sigma = 1.1868e-05 * N^0.8572,N = 5.5775e+05 * sigma^1.1666
humanoid-stand,0.8478976104686062,-11.45940200768399,sigma = 1.0550e-05 * N^0.8479,N = 7.4050e+05 * sigma^1.1794
humanoid-walk,0.8514258795393507,-10.752798163365325,sigma = 2.1385e-05 * N^0.8514,N = 3.0534e+05 * sigma^1.1745
