env_name,slope,intercept,eq_n_to_sigma,eq_sigma_to_n
h1-crawl-v0,0.3021362848543521,-4.6017680220640385,sigma = 1.0034e-02 * N^0.3021,N = 4.1176e+06 * sigma^3.3098
h1-pole-v0,0.30073930715819847,-5.016947774271299,sigma = 6.6247e-03 * N^0.3007,N = 1.7576e+07 * sigma^3.3251
h1-stand-v0,0.3031790995170079,-3.0119863529682975,sigma = 4.9194e-02 * N^0.3032,N = 2.0634e+04 * sigma^3.2984
humanoid-stand,0.2314824134423771,-1.3236140593630212,sigma = 2.6617e-01 * N^0.2315,N = 3.0429e+02 * sigma^4.3200
