env_name,slope,intercept,eq_n_to_sigma,eq_sigma_to_n
h1-crawl-v0,6.664069120108092,-114.57676188348947,sigma = 1.7376e-50 * N^6.6641,N = 2.9303e+07 * sigma^0.1501
h1-pole-v0,1.9713065244161951,-32.11805754445036,sigma = 1.1254e-14 * N^1.9713,N = 1.1909e+07 * sigma^0.5073
h1-stand-v0,7.175718416289017,-113.37529038216041,sigma = 5.7775e-50 * N^7.1757,N = 7.2743e+06 * sigma^0.1394
humanoid-stand,1.1576593138200177,-15.330266110610253,sigma = 2.1986e-07 * N^1.1577,N = 5.6381e+05 * sigma^0.8638
