env_name,slope,intercept,eq_n_to_sigma,eq_sigma_to_n
h1-crawl-v0,1.2482343543844443,-20.669530517914463,sigma = 1.0552e-09 * N^1.2482,N = 1.5541e+07 * sigma^0.8011
h1-pole-v0,1.8318035859310748,-26.710769634062572,sigma = 2.5099e-12 * N^1.8318,N = 2.1515e+06 * sigma^0.5459
h1-stand-v0,1.254416819207198,-20.205854419444915,sigma = 1.6777e-09 * N^1.2544,N = 9.8972e+06 * sigma^0.7972
humanoid-stand,0.950120857246352,-11.877670661793887,sigma = 6.9437e-06 * N^0.9501,N = 2.6867e+05 * sigma^1.0525
