env_name,slope,intercept,eq_n_to_sigma,eq_sigma_to_n
acrobot-swingup,1.6442836594175811,-23.448619460167162,sigma = 6.5523e-11 * N^1.6443,N = 1.5608e+06 * sigma^0.6082
cheetah-run,1.3693877746182141,-18.5994806469343,sigma = 8.3627e-09 * N^1.3694,N = 7.9201e+05 * sigma^0.7303
finger-turn,1.3693877746182141,-18.105630078656702,sigma = 1.3703e-08 * N^1.3694,N = 5.5222e+05 * sigma^0.7303
fish-swim,1.3693877746182141,-19.408429279878433,sigma = 3.7241e-09 * N^1.3694,N = 1.4298e+06 * sigma^0.7303
hopper-hop,1.3693877746182141,-17.832513517147607,sigma = 1.8007e-08 * N^1.3694,N = 4.5237e+05 * sigma^0.7303
quadruped-run,1.3693877746182141,-18.69299653362284,sigma = 7.6161e-09 * N^1.3694,N = 8.4799e+05 * sigma^0.7303
walker-run,1.3693877746182141,-17.513663561930823,sigma = 2.4769e-08 * N^1.3694,N = 3.5840e+05 * sigma^0.7303
