env_name,benchmark,utd,critic_params,compute_budget,critic_width,batch_size,batch_size_rounded
acrobot-swingup,dmc,2,2618046.926367167,1e+16,544,256.0,256
acrobot-swingup,dmc,4,3573763.2280561333,2e+16,640,256.0,256
acrobot-swingup,dmc,6,4796989.953727555,4e+16,736,256.0,256
acrobot-swingup,dmc,10,6384974.746275849,8e+16,864,256.0,256
acrobot-swingup,dmc,16,8356881.4755810015,1.6e+17,992,256.0,256
cheetah-run,dmc,3,1935908.8927706738,1e+16,464,256.0,256
cheetah-run,dmc,5,2674446.4444476664,2e+16,544,256.0,256
cheetah-run,dmc,8,3657606.583765965,4e+16,640,256.0,256
cheetah-run,dmc,12,4951926.264925023,8e+16,752,256.0,256
cheetah-run,dmc,19,6704267.71487442,1.6e+17,880,256.0,256
dog-run,dmc,2,2032974.5453394924,1e+16,464,256.0,256
dog-run,dmc,4,2685738.345674393,2e+16,544,256.0,256
dog-run,dmc,7,3502440.1747138314,4e+16,624,256.0,256
dog-run,dmc,12,4538009.338971518,8e+16,720,256.0,256
dog-run,dmc,20,5804105.685672712,1.6e+17,816,256.0,256
dog-stand,dmc,2,2986620.450522046,1e+16,576,256.0,256
dog-stand,dmc,4,3920781.3660158296,2e+16,672,256.0,256
dog-stand,dmc,6,5107263.737037272,4e+16,768,256.0,256
dog-stand,dmc,10,6652791.993388238,8e+16,880,256.0,256
dog-stand,dmc,16,8598895.548387114,1.6e+17,1008,256.0,256
dog-trot,dmc,2,2110654.594672663,1e+16,480,256.0,256
dog-trot,dmc,3,2912537.9241476017,2e+16,576,256.0,256
dog-trot,dmc,6,3984246.146760561,4e+16,672,256.0,256
dog-trot,dmc,9,5356252.415452493,8e+16,784,256.0,256
dog-trot,dmc,14,7138320.770718358,1.6e+17,912,256.0,256
dog-walk,dmc,2,1969038.1571929783,1e+16,464,256.0,256
dog-walk,dmc,4,2518396.2195327696,2e+16,528,256.0,256
dog-walk,dmc,7,3200233.1438789475,4e+16,592,256.0,256
dog-walk,dmc,11,4040422.791979128,8e+16,672,256.0,256
dog-walk,dmc,19,5101195.945417002,1.6e+17,768,256.0,256
finger-turn,dmc,6,1941580.0118703318,1e+16,464,256.0,256
finger-turn,dmc,9,2709506.449766293,2e+16,544,256.0,256
finger-turn,dmc,14,3743166.7976969634,4e+16,656,256.0,256
finger-turn,dmc,21,5067763.728822321,8e+16,768,256.0,256
fish-swim,dmc,2,2529821.8305075397,1e+16,528,256.0,256
fish-swim,dmc,3,3425051.5688793324,2e+16,624,256.0,256
fish-swim,dmc,5,4637076.851822907,4e+16,736,256.0,256
fish-swim,dmc,8,6278002.329975836,8e+16,848,256.0,256
fish-swim,dmc,11,8414198.348659048,1.6e+17,992,256.0,256
hopper-hop,dmc,3,1116943.0562194046,5000000000000000.0,336,256.0,256
hopper-hop,dmc,6,1574533.2466189682,1e+16,416,256.0,256
hopper-hop,dmc,9,2175208.171629372,2e+16,496,256.0,256
hopper-hop,dmc,13,2974842.0448390115,4e+16,576,256.0,256
hopper-hop,dmc,20,4068431.3837939273,8e+16,688,256.0,256
humanoid-run,dmc,2,1598274.7898425055,1e+16,416,256.0,256
humanoid-run,dmc,4,2283627.5179384807,2e+16,496,256.0,256
humanoid-run,dmc,7,3206560.1250389437,4e+16,608,256.0,256
humanoid-run,dmc,11,4386457.843731421,8e+16,704,256.0,256
humanoid-run,dmc,19,5948516.669646798,1.6e+17,832,256.0,256
humanoid-walk,dmc,3,1415307.697068161,1e+16,384,256.0,256
humanoid-walk,dmc,5,2075698.3241107776,2e+16,480,256.0,256
humanoid-walk,dmc,9,2940073.609946197,4e+16,576,256.0,256
humanoid-walk,dmc,15,4057071.1618884634,8e+16,672,256.0,256
humanoid-walk,dmc,24,5549926.066153539,1.6e+17,800,256.0,256
quadruped-run,dmc,5,2588409.240722572,1e+16,528,256.0,256
quadruped-run,dmc,8,3916111.837978719,2e+16,672,256.0,256
quadruped-run,dmc,14,5690279.60127646,4e+16,816,256.0,256
quadruped-run,dmc,22,8021478.234614276,8e+16,976,256.0,256
walker-run,dmc,3,776055.1528758236,2500000000000000.0,272,256.0,256
walker-run,dmc,5,1186043.5534892252,5000000000000000.0,352,256.0,256
walker-run,dmc,9,1740864.879809315,1e+16,432,256.0,256
walker-run,dmc,14,2504134.655382386,2e+16,528,256.0,256
walker-run,dmc,23,3494560.5941348174,4e+16,624,256.0,256
