env_name,benchmark,utd,critic_width,critic_params,fitted_batch_size,batch_size_rounded
h1-crawl-v0,humanoid_bench,1,128,178632,73.59956536759826,80
h1-crawl-v0,humanoid_bench,1,256,619208,146.44090342546494,144
h1-crawl-v0,humanoid_bench,1,512,2286792,301.3331418827659,304
h1-crawl-v0,humanoid_bench,1,1024,8767688,631.0147711986028,624
h1-crawl-v0,humanoid_bench,1,2048,34312392,1327.2904490777464,1328
h1-pole-v0,humanoid_bench,1,256,619208,51.62666773017459,48
h1-pole-v0,humanoid_bench,1,512,2286792,120.28871404183141,128
h1-pole-v0,humanoid_bench,1,1024,8767688,286.5437389215257,288
h1-pole-v0,humanoid_bench,1,2048,34312392,688.1080228268708,688
h1-stand-v0,humanoid_bench,1,256,619208,486.8067477390919,480
h1-stand-v0,humanoid_bench,1,512,2286792,1592.6299742657125,1600
h1-stand-v0,humanoid_bench,1,1024,8767688,1657.9336974609544,1664
h1-stand-v0,humanoid_bench,1,2048,34312392,1658.982689162332,1664
humanoid-stand,dmc,1,128,183240,289.5659953963524,288
humanoid-stand,dmc,1,256,628424,410.00909305793215,416
humanoid-stand,dmc,1,512,2305224,561.4343802688402,560
humanoid-stand,dmc,1,1024,8804552,728.4175420446935,736
humanoid-stand,dmc,1,2048,34386120,888.0925266854083,896
h1-crawl-v0,humanoid_bench,2,128,178632,52.80302038225601,48
h1-crawl-v0,humanoid_bench,2,256,619208,105.06206075742672,112
h1-crawl-v0,humanoid_bench,2,512,2286792,216.18741840681815,224
h1-crawl-v0,humanoid_bench,2,1024,8767688,452.71307865322154,448
h1-crawl-v0,humanoid_bench,2,2048,34312392,952.2467189280497,960
h1-pole-v0,humanoid_bench,2,256,619208,53.40075215785017,48
h1-pole-v0,humanoid_bench,2,512,2286792,124.42228190102534,128
h1-pole-v0,humanoid_bench,2,1024,8767688,296.3904481402091,304
h1-pole-v0,humanoid_bench,2,2048,34312392,711.7539752295335,704
h1-stand-v0,humanoid_bench,2,256,619208,373.42348841748816,368
h1-stand-v0,humanoid_bench,2,512,2286792,1221.6869291781154,1216
h1-stand-v0,humanoid_bench,2,1024,8767688,1271.7806146816022,1264
h1-stand-v0,humanoid_bench,2,2048,34312392,1272.5852833561198,1280
humanoid-stand,dmc,2,128,183240,205.70489363016833,208
humanoid-stand,dmc,2,256,628424,291.2665099347717,288
humanoid-stand,dmc,2,512,2305224,398.8375752319985,400
humanoid-stand,dmc,2,1024,8804552,517.4608047452377,512
humanoid-stand,dmc,2,2048,34386120,630.8923756241254,624
h1-crawl-v0,humanoid_bench,4,128,178632,37.88281829604951,32
h1-crawl-v0,humanoid_bench,4,256,619208,75.37536543685238,80
h1-crawl-v0,humanoid_bench,4,512,2286792,155.1007618524343,160
h1-crawl-v0,humanoid_bench,4,1024,8767688,324.79292235010644,320
h1-crawl-v0,humanoid_bench,4,2048,34312392,683.1766282499045,688
h1-pole-v0,humanoid_bench,4,256,619208,55.235800728572336,48
h1-pole-v0,humanoid_bench,4,512,2286792,128.6978945345995,128
h1-pole-v0,humanoid_bench,4,1024,8767688,306.57552693137814,304
h1-pole-v0,humanoid_bench,4,2048,34312392,736.2124905532501,736
h1-stand-v0,humanoid_bench,4,256,619208,286.44858015941605,288
h1-stand-v0,humanoid_bench,4,512,2286792,937.1410666892571,944
h1-stand-v0,humanoid_bench,4,1024,8767688,975.5673187395395,976
h1-stand-v0,humanoid_bench,4,2048,34312392,976.1845702153133,976
humanoid-stand,dmc,4,128,183240,146.13077480136982,144
humanoid-stand,dmc,4,256,628424,206.91292277655788,208
humanoid-stand,dmc,4,512,2305224,283.3303712907099,288
humanoid-stand,dmc,4,1024,8804552,367.5991707942144,368
humanoid-stand,dmc,4,2048,34386120,448.17986601709833,448
h1-crawl-v0,humanoid_bench,8,128,178632,27.178519555554796,32
h1-crawl-v0,humanoid_bench,8,256,619208,54.07704430866519,48
h1-crawl-v0,humanoid_bench,8,512,2286792,111.27495996060628,112
h1-crawl-v0,humanoid_bench,8,1024,8767688,233.0183230459043,240
h1-crawl-v0,humanoid_bench,8,2048,34312392,490.1359029226265,496
h1-pole-v0,humanoid_bench,8,256,619208,57.13390839716929,64
h1-pole-v0,humanoid_bench,8,512,2286792,133.12043312960972,128
h1-pole-v0,humanoid_bench,8,1024,8767688,317.11060293275835,320
h1-pole-v0,humanoid_bench,8,2048,34312392,761.5114914838755,768
h1-stand-v0,humanoid_bench,8,256,619208,219.7311942617017,224
h1-stand-v0,humanoid_bench,8,512,2286792,718.869423827188,720
h1-stand-v0,humanoid_bench,8,1024,8767688,748.3457307068056,752
h1-stand-v0,humanoid_bench,8,2048,34312392,748.8192167469743,752
humanoid-stand,dmc,8,128,183240,103.8098946855433,96
humanoid-stand,dmc,8,256,628424,146.9889470695606,144
humanoid-stand,dmc,8,512,2305224,201.27516633565926,208
humanoid-stand,dmc,8,1024,8804552,261.13890970954276,256
humanoid-stand,dmc,8,2048,34386120,318.38265933138507,320
